FILE;WEAPON;DMG;MINIMAL DMG;MELEE DMG;MAX DAMAGE RANGE;MIN DAMAGE RANGE;x HEAD;x NECK;x TORSO UP;x TORSO LOW;x ARMS / LEGS upper;x ARMS / LEGS lower;x HANDS / FEET;FIRE TIME;FIRE DELAY;MELEE TIME;MELEE DELAY;RELOAD;RELOAD EMPTY;RELOAD START TIME;RELOAD END TIME;RELOAD ADD TIME;RELOAD START ADD TIME; 
kar98k_sniper_mp;Kar98kSniper;200;150;500;2000;3000;1.5;1.2;1;1;1;1;1;0.4;0;0.7;0.1;1;1;1;1;1;1; 
knife_mp;Knife;500;500;500;384;800;1;1;1;1;1;1;1;0.5;0;0.5;0.1;0;0;0;0;0;0; 
launcher_mp;Launcher;400;400;500;2000;3000;1;1;1;1;1;1;1;0.7;0;0.7;0.2;3;3;3;3;3;3; 
m1garand_mp;M1Garand;90;70;500;2000;3000;1.5;1.2;1;1;1;1;1;0.135;0;0.7;0.1;1.5;1.5;1.5;1.5;1.5;1.5; 
minigun_mp;Minigun;25;15;500;1000;2000;1.2;1.1;1;1;1;1;1;0.02;0;1;0.3;3;3;3;3;3;3; 
mosin_nagant_mp;MosingNagant;175;155;500;2000;3000;2;1.5;1;1;1;1;1;0.33;0;0.7;0.1;2.3;2.3;2.3;2.3;2.3;2.3; 
mp40_mp;Mp40;40;20;500;1000;2000;2;1.5;1;1;1;1;1;0.15;0;0.7;0.1;2.6;3.3;0;0;1.77;1.77; 
mp44_mp;Mp44;44;24;500;1000;2000;1.2;1.1;1;1;1;1;1;0.1;0;0.7;0.1;2.2;2.2;2.2;2.2;2.2;2.2; 
pps_mp;Pps;60;40;500;800;1200;1.5;1.2;1;1;1;1;1;0.08;0;0.7;0.1;2;2;2;2;2;2; 
ppsh_mp;Ppsh;30;20;500;800;1200;1.2;1;1;1;1;1;1;0.08;0;0.7;0.1;2.5;2.5;2.5;2.5;2.5;2.5; 
raygun_mp;Raygun;150;130;500;1000;2000;1;1;1;1;1;1;1;0.5;0;0.7;0.1;2.5;2.5;2.5;2.5;2.5;2.5; 
rocket_mp;Rocket;1000;1000;500;x;x;1;1;1;1;1;1;1;1;0;1.2;0.3;3;3;3;3;3;3; 
rpk_mp;Rpk;50;40;600;1500;2500;2.25;1.5;1;1;1;1;1;0.08;0;0.8;0.2;3.5;4.5;0;0;3.5;3.5; 
saw_mp;Saw;40;20;600;1500;2500;1.5;1.2;1;1;1;1;1;0.07;0;0.8;0.2;3;3;3;3;3;3; 
scissors_mp;Scissors;500;500;500;x;x;1.2;1.1;1;1;1;1;1;0.5;0;0.5;0.1;1;1;1;1;1;1; 
sig_mp;Sig;42;32;500;1500;2500;3;2;1;1;1;1;1;0.08;0;0.7;0.1;2;2;2;2;2;2; 
springfield_mp;Springfield;175;155;500;5000;10000;2;1.5;1;1;1;1;1;0.4;0;0.7;0.1;0.6;0.6;0.6;0.6;0.6;0.6; 
tesla_mp;Tesla;140;120;500;5000;10000;1.5;1.2;1;1;1;1;1;0.15;0;0.7;0.1;2;2;2;2;2;2; 
thompson_mp;Thompson;60;40;500;800;1200;1.5;1.2;1;1;1;1;1;0.09;0;0.7;0.1;1.5;1.5;1.5;1.5;1.5;1.5; 
winchester_mp;Winchester;50;35;500;384;800;1.25;1.1;1;1;1;1;1;0.3;0;0.7;0.1;0.8;0.8;0.8;0.8;0.8;0.8; 
zooka_mp;Zooka;500;500;600;x;x;1;1;1;1;1;1;1;1;0;1;0.3;3.5;3.5;3.5;3.5;3.5;3.5; 
